K,Replicate,Loglikelihood,CVerror
1,1,-923558.7306,0.9915
1,2,-923558.7306,0.99152
1,3,-923558.7306,0.99147
1,4,-923558.7306,0.99132
1,5,-923558.7306,0.99147
1,6,-923558.7306,0.99125
1,7,-923558.7306,0.99148
1,8,-923558.7306,0.99147
1,9,-923558.7306,0.99149
1,10,-923558.7306,0.9913
2,1,-296691.1292,0.23976
2,2,-296691.0534,0.23963
2,3,-296691.0556,0.2398
2,4,-296691.1818,0.23977
2,5,-296691.0529,0.2398
2,6,-296691.0523,0.23971
2,7,-296691.059,0.23966
2,8,-296691.1129,0.23975
2,9,-296691.0533,0.23972
2,10,-296691.0735,0.23987
3,1,-294024.1897,0.24119
3,2,-294023.7393,0.24135
3,3,-294023.6285,0.24138
3,4,-294024.1279,0.24109
3,5,-294024.044,0.24124
3,6,-266561.2858,0.20637
3,7,-294023.5972,0.24116
3,8,-294023.4807,0.24121
3,9,-294023.94,0.24129
3,10,-294023.6531,0.24117
4,1,-264007.0206,0.20764
4,2,-264007.0872,0.20814
4,3,-264007.0173,0.20791
4,4,-264006.7992,0.20776
4,5,-281906.3511,0.22858
4,6,-264007.1312,0.20784
4,7,-264007.0939,0.20775
4,8,-264007.0457,0.20794
4,9,-281906.041,0.22888
4,10,-264007.0736,0.20772
5,1,-252287.1529,0.19575
5,2,-262453.3986,0.21232
5,3,-262572.5782,0.21079
5,4,-262596.8664,0.21069
5,5,-262636.14,0.21107
5,6,-262541.7874,0.21084
5,7,-262575.4004,0.21089
5,8,-262625.5207,0.21003
5,9,-262660.9297,0.2104
5,10,-262622.4634,0.2103
6,1,-250764.1457,0.19903
6,2,-250888.442,0.19802
6,3,-250896.6257,0.19814
6,4,-250919.0812,0.1981
6,5,-261227.5069,0.21518
6,6,-261193.2983,0.21406
6,7,-250890.0329,0.19826
6,8,-250917.32,0.19848
6,9,-250792.2408,0.19926
6,10,-261210.2504,0.21417
7,1,-249680.3843,0.20073
7,2,-249264.1038,0.20329
7,3,-249451.5769,0.20221
7,4,-249473.0966,0.20196
7,5,-249392.1868,0.20315
7,6,-249521.9114,0.20247
7,7,-249519.6117,0.20199
7,8,-249481.0001,0.20175
7,9,-249473.0966,0.20196
7,10,-249618.3608,0.20046
8,1,-248337.4733,0.20454
8,2,-247774.0567,0.20225
8,3,-247589.0639,0.20199
8,4,-248198.3826,0.20486
8,5,-247625.4662,0.2034
8,6,-247620.2899,0.20346
8,7,-248382.8246,0.20381
8,8,-247567.5034,0.20266
8,9,-248291.9698,0.20418
8,10,-248206.2107,0.20419
9,1,-246347.9622,0.20591
9,2,-246484.1421,0.2068
9,3,-246345.8463,0.20599
9,4,-246307.492,0.20546
9,5,-246420.7255,0.20444
9,6,-246490.973,0.20589
9,7,-246378.8257,0.20579
9,8,-246369.8553,0.20542
9,9,246414.5695,0.20498
9,10,-246284.0915,0.20764
10,1,-245574.4544,0.21087
10,2,-245359.0658,0.20807
10,3,-245899.3161,0.20916
10,4,-245735.5044,0.20919
10,5,-245189.7165,0.20956
10,6,-245096.132,0.21013
10,7,-245703.8205,0.21023
10,8,-245141.1461,0.20959
10,9,-245287.7017,0.21081
10,10,-245115.8204,0.21154